step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_129989926_stopped,GS_129989926_accumulated_waiting_time,GS_129989926_average_speed,GS_1586370783_stopped,GS_1586370783_accumulated_waiting_time,GS_1586370783_average_speed,GS_1608392196_stopped,GS_1608392196_accumulated_waiting_time,GS_1608392196_average_speed,GS_27452412_stopped,GS_27452412_accumulated_waiting_time,GS_27452412_average_speed,GS_34945961_stopped,GS_34945961_accumulated_waiting_time,GS_34945961_average_speed,GS_cluster_1600202209_3482369648_5531696392_stopped,GS_cluster_1600202209_3482369648_5531696392_accumulated_waiting_time,GS_cluster_1600202209_3482369648_5531696392_average_speed,GS_cluster_27028543_5183760624_stopped,GS_cluster_27028543_5183760624_accumulated_waiting_time,GS_cluster_27028543_5183760624_average_speed,GS_cluster_5080753537_9652255873_stopped,GS_cluster_5080753537_9652255873_accumulated_waiting_time,GS_cluster_5080753537_9652255873_average_speed,GS_cluster_5183520274_75213080_stopped,GS_cluster_5183520274_75213080_accumulated_waiting_time,GS_cluster_5183520274_75213080_average_speed,cluster_13190056281_1388545508_1481512755_1588996967_#1more_stopped,cluster_13190056281_1388545508_1481512755_1588996967_#1more_accumulated_waiting_time,cluster_13190056281_1388545508_1481512755_1588996967_#1more_average_speed,cluster_13190056293_13190056294_13190056295_153517090_#6more_stopped,cluster_13190056293_13190056294_13190056295_153517090_#6more_accumulated_waiting_time,cluster_13190056293_13190056294_13190056295_153517090_#6more_average_speed,joinedG_1374424275_1701114250_27557273_27557357_stopped,joinedG_1374424275_1701114250_27557273_27557357_accumulated_waiting_time,joinedG_1374424275_1701114250_27557273_27557357_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,3,0,1,0,3,0,0.0,0.0,3.853807395192174,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,6.756039741051209,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,8,0,1,0,8,0,0.0,0.0,7.227526257871177,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,0.0
20.0,10,0,0,0,10,0,0.0,0.0,6.954175813069945,0,0.0,1.0,0,0.0,0.8712098022268508,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.653115704026562,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.02039628640050004,0,0.0
25.0,13,0,2,0,13,0,5.0,0.38461538461538464,7.6627548535601875,0,0.0,1.0,0,0.0,0.9509342692718937,0,0.0,0.9794339809342202,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5745566382787861,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0,1,5.0
30.0,15,0,3,0,15,0,15.0,1.0,5.475122684015466,0,0.0,1.0,0,0.0,0.472857638223,1,1.0,0.0029606141002397435,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.0,0,0.0,0.16363678218313318,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,3,15.0
35.0,17,1,5,0,17,0,38.0,2.235294117647059,6.255702146911693,0,0.0,1.0,1,4.0,0.45125689765716104,1,6.0,0.383586230336329,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,1,4.0,8.278972897771993e-06,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,15.0,0.0,5,38.0
40.0,20,0,6,0,20,0,64.0,3.2,4.810827571272117,0,0.0,1.0,2,10.0,0.0035032034346693473,1,11.0,0.004307146930339884,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,14.0,0.0,1,9.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,20.0,0.0,6,64.0
45.0,23,0,7,0,23,0,85.0,3.6956521739130435,5.419945271707184,0,0.0,1.0,2,20.0,0.0,2,21.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,19.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,25.0,0.0,6,85.0
