step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0,1,0,1,0,1,0,0.0,0.0,0.0
1,1,0,0,0,1,0,0.0,0.0,1.9592106993775815
2,2,0,1,0,2,0,0.0,0.0,2.2217468296061273
3,3,0,1,0,3,0,0.0,0.0,2.6803099026593067
4,3,0,0,0,3,0,0.0,0.0,5.012342078789758
5,4,0,1,0,4,0,0.0,0.0,4.613065570471855
6,5,0,1,0,5,0,0.0,0.0,4.689263397789623
7,5,0,0,0,5,0,0.0,0.0,6.1216022490189115
8,6,0,1,0,6,0,0.0,0.0,5.876239480442265
9,7,0,1,0,7,0,0.0,0.0,6.275735209399345
10,7,0,0,0,7,0,0.0,0.0,7.096823808225572
11,8,0,1,0,8,0,0.0,0.0,6.75387410965984
12,9,0,1,0,9,0,0.0,0.0,6.626145987036459
13,9,0,0,0,9,0,0.0,0.0,7.171150977922218
14,10,0,1,0,10,0,0.0,0.0,6.488094619765309
15,11,0,1,0,11,0,0.0,0.0,5.772166249523739
16,11,0,0,0,11,0,0.0,0.0,5.7064632615156805
17,12,0,2,0,12,0,1.0,0.08333333333333333,5.737133471573689
18,13,0,3,0,13,0,3.0,0.23076923076923078,5.797938892180347
19,13,0,2,0,13,0,5.0,0.38461538461538464,6.5090091932556415
20,14,0,3,0,14,0,7.0,0.5,6.901461066465251
21,15,0,3,0,15,0,9.0,0.6,6.799101191718807
22,15,0,2,0,15,0,11.0,0.7333333333333333,7.23868027742595
23,16,0,3,0,16,0,13.0,0.8125,6.204179967258315
24,17,0,4,0,17,0,16.0,0.9411764705882353,5.587573454785347
25,17,0,3,0,17,0,19.0,1.1176470588235294,5.848770926703726
26,18,0,6,0,18,0,24.0,1.3333333333333333,5.246949338244607
27,19,0,6,0,19,0,29.0,1.5263157894736843,4.945827391876222
28,19,0,6,0,19,0,35.0,1.8421052631578947,5.018910287494585
29,20,0,8,0,20,0,42.0,2.1,4.86929514401782
30,21,0,8,0,21,0,49.0,2.3333333333333335,4.622230285659053
31,21,0,7,0,21,0,56.0,2.6666666666666665,4.140630913027331
32,22,0,8,0,22,0,63.0,2.8636363636363638,3.8579288642877674
33,23,0,9,0,23,0,71.0,3.0869565217391304,3.9271531850152006
34,23,0,11,0,23,0,82.0,3.5652173913043477,3.9084612643381766
35,24,0,12,0,24,0,93.0,3.875,3.503655458257388
36,25,0,12,0,25,0,104.0,4.16,3.374588048401406
37,25,0,12,0,25,0,116.0,4.64,3.387308403020753
38,26,0,12,0,26,0,126.0,4.846153846153846,3.547685789787615
39,27,0,13,0,27,0,138.0,5.111111111111111,3.5588208732441413
40,27,0,12,0,27,0,150.0,5.555555555555555,3.3679941379331138
41,28,0,13,0,28,0,162.0,5.785714285714286,3.0619794760465195
42,29,0,14,0,29,0,175.0,6.0344827586206895,3.2826156598580774
43,29,0,14,0,29,0,189.0,6.517241379310345,3.5855727549367127
44,30,0,16,0,30,0,204.0,6.8,3.479138613801552
45,31,0,8,0,31,0,114.0,3.6774193548387095,3.9297603983951497
46,31,0,7,0,31,0,121.0,3.903225806451613,4.503150732583386
47,32,0,10,0,32,0,130.0,4.0625,4.865922394343879
48,33,0,10,0,33,0,139.0,4.212121212121212,5.235854085378529
49,33,0,9,0,33,0,148.0,4.484848484848484,5.3789348120300735
50,34,0,8,0,34,0,93.0,2.735294117647059,5.365661730632489
51,35,0,8,0,35,0,83.0,2.3714285714285714,5.728636499971945
52,35,0,9,0,35,0,92.0,2.6285714285714286,6.039655440128803
53,35,0,11,1,36,0,102.0,2.914285714285714,5.798240875771589
54,36,0,11,1,37,0,112.0,3.111111111111111,5.57790689841319
55,36,0,12,1,37,0,124.0,3.4444444444444446,5.706140650887097
56,37,0,13,1,38,0,136.0,3.675675675675676,5.661371128752553
57,38,0,14,1,39,0,149.0,3.9210526315789473,5.3891572690994956
58,38,0,13,1,39,0,162.0,4.2631578947368425,5.521579317454357
59,39,0,15,1,40,0,176.0,4.512820512820513,5.373948501735545
60,40,0,12,1,41,0,146.0,3.65,5.310382251609879
61,40,0,12,1,41,0,158.0,3.95,5.338651802100242
62,41,0,14,1,42,0,171.0,4.170731707317073,4.956455935264615
63,42,0,15,1,43,0,185.0,4.404761904761905,4.618837543180835
64,42,0,15,1,43,0,200.0,4.761904761904762,4.761143031412076
65,43,0,19,1,44,0,218.0,5.069767441860465,4.758517292557384
66,44,0,20,1,45,0,237.0,5.386363636363637,4.774297707817847
67,44,0,18,1,45,0,206.0,4.681818181818182,4.593703952926775
68,45,0,19,1,46,0,224.0,4.977777777777778,4.38220510233796
69,46,0,20,1,47,0,243.0,5.282608695652174,4.334615892769308
70,46,0,20,1,47,0,263.0,5.717391304347826,4.5088897412855955
71,47,0,21,1,48,0,283.0,6.0212765957446805,4.2515846634914585
72,48,0,21,1,49,0,303.0,6.3125,4.090080067382951
73,48,0,21,1,49,0,324.0,6.75,3.764214761647376
